参数,名称,数据,作用
C,正则化系数,float类型，默认值为1.0,1. 正则化的强度与C的大小成反比，且必须为正。2. 主要是用来防止模型过拟合3. C值越大，对模型的惩罚越高，泛化能力越弱（过拟合）4. 反之，C值越小，对模型的惩罚越低，泛化能力越强（欠拟合）
kernel,核函数,"1. string类型2. {‘linear’, ‘poly’, ‘rbf’, ‘sigmoid’, ‘precomputed’} 3. 默认值为’rbf’",1. 用来选择映射到高维线性可分的核函数  2. linear: 线性核函数； 优点： 简单、运算效率高；缺点： 对线性不可分的数据集没有很好的效果  3. ploy: 多项式核函数； 优点： 可以拟合出复杂的分割超平面；缺点： 有三个参数，调参困难，且当n过大时，模型拟合时间会很长 ；4. rbf: 径向基函数 通常定义为样本到数据中心之间径向距离（通常是欧氏距离）的单调函数（由于距离是径向同性的）； 相较于多项式核，具有参数少的优点  5. sigmoid：Logistic函数 也称为S型生长曲线，优点：平滑  6. precomputed：预训练好的核函数对应的Gram 矩阵 优点： 不用再次拟合核函数对应的Gram 矩阵，直接进行映射就可以了
degree,多项式核函数的维度,1. int类型，默认值为3,1. 只有在使用多项式核函数的时候才有用，使用其他核函数自动忽略此参数  2. 用来确定多项式核函数的维度，即n的值
gamma,"‘rbf’, ‘poly’ 和‘sigmoid’ 核函数的系数","1. string类型，默认值为‘scale’  2. {‘auto’, ‘scale’}",1. auto: gamma = 1 / n_features  2. scale: gamma = 1 / (n_features * X.var())  3. 只作用于 rbf， poly，sigmoid 三个核函数
coef0,常数项,1. float类型，默认值为0,1. 只作用于poly 和 sigmoid 核函数  2. 作用相当于是对核函数映射的结果进行一个移位操作
shrinking,启用启发式收缩,1. bool类型，默认为True,1. 是否采用启发式收缩，当迭代次数过大时， 启用启发式收缩可以缩短训练时间，然而如果我们对停止迭代容忍度较高时（tol参数来反映），不用启发式收缩可能会更快一些
probability,启用概率估计,1. bool类型，默认为False,1. 在拟合（fit）模型之前启用  2. 启用之后会减缓拟合速度，但是拟合之后，模型能够输出各个类别对应的概率
tol,停止拟合容忍度,1. float类型，默认值为1e-3 即为0.001,1. 定义模型停止拟合的误差值
cache_size,核缓存大小,1. float类型，默认值为200（MB）,1. 指定模型在训练时，能占用的最大RAM空间（PS. 经过实验，当大小设置超过2000MB时，训练时长反而会增加，这应该是一个BUG），在2000MB以内，不超过其所需最大内存，则不会降低训练速度，也不会增加。 2. 所以训练多采用的数据集维度越高，条数越高，当所需内存超出了，我们可以通过调整cache_size 的大小来加快模型拟合
class_weight,类别的权重,1. 字典，默认值为None  2. {dict} or ‘balanced’,1. 该参数表示给每个类别分别设置不同的惩罚参数C  2. 如果没有给，则会给所有类别都给C=1，即前面参数指出的参数C  3. 如果给定参数‘balance’，自动调整权重 C = n_samples / (n_classes * np.bincount(y)) 其中y为每个训练数据的标签值
verbose,启用详细输出,1. bool类型，默认值：False,1. 该参数表示日志是否启用详细输出，会输出iter次数，nSV等参数的值  2. 如果启用，可能会导致无法进行多线程工作，降低拟合速率
max_iter,最大迭代次数,1. int类型，默认值: -1,1. 硬性设置最大迭代次数，不管模型是否拟合完成，即不关心误差值(tol参数)  2. 设置-1的话，意味着不限制迭代次数，即按照误差值来停止模型拟合
decision_function_shape,多分类策略,1. 字典类型 ，默认值: ‘ovr’,1. 设置进行多分类任务时，采用的分类策略  2. 当进行二分类任务时，这一参数被自动忽略
break_ties,启用打破平局,1. bool类型，默认值为Flase,1. 当进行多分类任务时可以启用  2. 启用后，多分类策略会被设置为 ovr  3. 作用在于，当两个类别具有相同的分类概率时，则根据类名排序，返回第一个类，如果启用之后，则会根据decision_function的置信度来决定返回的类  4. 启用之后，会增加计算开销，降低拟合好后的模型预测效率
random_state,随机数,1. int类型，默认值：None,1. 控制伪随机数生成，保证多次训练时，打乱的数据是一致的，从而进行概率估计。2. 当 probability 设置 False时，这一参数被自动忽略
